ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"A.T. Still U. of Health Sciences","Kirksville","Mo.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Abilene Christian U.","Abilene","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Academy College","Bloomington","Minn.","06/30/15","2.2","Private for-profit, 4-year or above"
"Academy for Five Element Acupuncture","Gainesville","Fla.","09/30/14","2.9","Private not-for-profit, 4-year or above"
"Academy for Jewish Religion","Los Angeles","Calif.","07/31/14","0.7","Private not-for-profit, 4-year or above"
"Academy for Nursing and Health Occupations","West Palm Beach","Fla.","07/31/14","3","Private not-for-profit, 2-year"
"Academy of Art U.","San Francisco","Calif.","12/31/14","1.9","Private for-profit, 4-year or above"
"Academy of Chinese Culture and Health Sciences","Oakland","Calif.","12/31/14","2.6","Private not-for-profit, 4-year or above"
"Academy of Couture Art","Beverly Hills","Calif.","12/31/14","2.7","Private for-profit, 4-year or above"
"Academy of Natural Therapy","Greeley","Colo.","12/31/14","-0.3","Private for-profit, 2-year"
"Acupuncture and Integrative Medicine College","Berkeley","Calif.","12/31/14","1.5","Private not-for-profit, 4-year or above"
"Acupuncture and Massage College","Miami","Fla.","12/31/14","0.8","Private for-profit, 4-year or above"
"Adelphi U.","Garden City","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"Adler Graduate School","Richfield","Minn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Adler U.","Chicago","Ill.","08/31/14","2.2","Private not-for-profit, 4-year or above"
"Adrian College","Adrian","Mich.","06/30/15","1.2","Private not-for-profit, 4-year or above"
"Advanced College","South Gate","Calif.","12/31/14","2.7","Private for-profit, 2-year"
"Advanced Computing Institute","Los Angeles","Calif.","12/31/14","2.4","Private for-profit, 2-year"
"Advanced Technology Institute","Virginia Beach","Va.","12/31/14","2.5","Private for-profit, 2-year"
"Advanced Training Associates","El Cajon","Calif.","12/31/14","3","Private for-profit, 2-year"
"Agnes Scott College","Decatur","Ga.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"AIB College of Business","Des Moines","Iowa","08/31/14","2.2","Private not-for-profit, 4-year or above"
"Alabama College of Osteopathic Medicine","Dothan","Ala.","09/30/14","3","Private not-for-profit, 4-year or above"
"Alaska Bible College","Palmer","Alaska","05/31/15","1.4","Private not-for-profit, 4-year or above"
"Alaska Career College","Anchorage","Alaska","12/31/14","2.6","Private for-profit, 2-year"
"Alaska Christian College","Soldotna","Alaska","05/31/15","2.1","Private not-for-profit, 2-year"
"Alaska Pacific U.","Anchorage","Alaska","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Albany College of Pharmacy and Health Sciences","Albany","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Albany Law School of Union U.","Albany","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Albany Medical College","Albany","N.Y.","12/31/14","2.2","Private not-for-profit, 4-year or above"
"Albertus Magnus College","New Haven","Conn.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Albion College","Albion","Mich.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Albright College","Reading","Pa.","05/31/15","3","Private not-for-profit, 4-year or above"
"Alderson Broaddus U.","Philippi","W.Va.","06/30/15","0.4","Private not-for-profit, 4-year or above"
"Alegent Creighton Health School of Radiologic Technology","Omaha","Nebr.","06/30/15","2.4","Private not-for-profit, 2-year"
"Alfred U.","Alfred","N.Y.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Alice Lloyd College","Pippa Passes","Ky.","07/31/14","3","Private not-for-profit, 4-year or above"
"Allegheny College","Meadville","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Allegheny Wesleyan College","Salem","Ohio","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Alliant International U. at San Diego","San Diego","Calif.","06/30/15","-0.4","Private not-for-profit, 4-year or above"
"Allied American U.","Laguna Hills","Calif.","12/31/14","2.4","Private for-profit, 4-year or above"
"Allied Health Institute","Plantation","Fla.","12/31/14","2.2","Private for-profit, 2-year"
"Alma College","Alma","Mich.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Alvernia U.","Reading","Pa.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Alverno College","Milwaukee","Wis.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Amberton U.","Garland","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"American Academy McAllister Institute of Funeral Service","New York","N.Y.","09/30/14","1.4","Private not-for-profit, 2-year"
"American Academy of Acupuncture and Oriental Medicine","Roseville","Minn.","12/31/14","1.4","Private for-profit, 4-year or above"
"American Academy of Art","Chicago","Ill.","12/31/14","3","Private for-profit, 4-year or above"
"American Academy of Dramatic Arts at New York","New York","N.Y.","08/31/14","3","Private not-for-profit, 2-year"
"American Baptist College","Nashville","Tenn.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"American Baptist Seminary of the West","Berkeley","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"American Career College at Los Angeles","Los Angeles","Calif.","12/31/14","1.6","Private for-profit, 2-year"
"American Career College at Ontario","Ontario","Calif.","12/31/14","2.5","Private for-profit, 2-year"
"American College of Acupuncture and Oriental Medicine","Houston","Tex.","08/31/14","2.2","Private for-profit, 4-year or above"
"American College of Healthcare Sciences","Portland","Ore.","12/31/14","2.8","Private for-profit, 4-year or above"
"American College of Traditional Chinese Medicine","San Francisco","Calif.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"American Conservatory Theater","San Francisco","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"American Film Institute Conservatory","Los Angeles","Calif.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"American Indian College of the Assemblies of God","Phoenix","Ariz.","06/30/15","-0.2","Private not-for-profit, 4-year or above"
"American Institute of Alternative Medicine","Columbus","Ohio","12/31/14","2","Private for-profit, 2-year"
"American International College","Springfield","Mass.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"American Jewish U.","Los Angeles","Calif.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"American Medical Academy","Miami","Fla.","12/31/14","3","Private for-profit, 2-year"
"American Musical and Dramatic Academy","New York","N.Y.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"American National U.","Salem","Va.","11/30/14","2.2","Private for-profit, 4-year or above"
"American Public U. system","Charles Town","W.Va.","12/31/14","3","Private for-profit, 4-year or above"
"American Sentinel U.","Aurora","Colo.","12/31/14","2.2","Private for-profit, 4-year or above"
"American U.","Washington","D.C.","04/30/15","3","Private not-for-profit, 4-year or above"
